City_ID,City_Name,State_Name,State_ID,County_Name,County_FIPS,Latitude,Longitude,Population_August_13_2021,Density_August_13_2021,Zips,Speak A Language Other Than English,Bachelor's Degree or Higher,Two or More Races,Park access,Walkability,Limited access to healthy foods,Foreign Born,State annual CO2 equivalent total output emission rate (lb/MWh) 2020,State annual total nonrenewables net generation (MWh) 2020,State annual total renewables net generation (MWh) 2020,Frequent Physical Distress in 2018 (Percent),broadband_connection_2019(%),park_access_2018(%),preventive_services_2018(%),walkability_2019(%),PoplutionPercent,Vacant_houses,CrimesOccurred,RegisteredVoters,ViolentCrimes,Insurance,all_median_household_income_2019,all_change_in_median_household_income_between_2000_and_2019,all_median_non-family_income_2019,all_change_in_median_non-family_income_between_2000_and_2019,all_median_per_capita_income_2019,all_change_in_median_per_capita_income_between_2000_and_2019,white_median_household_income_2019,white_change_in_median_household_income_between_2000_and_2019,white_median_non-family_income_2019,white_change_in_median_non-family_income_between_2000_and_2019,white_median_per_capita_income_2019,white_change_in_median_per_capita_income_between_2000_and_2019,black_or_african_american_median_household_income_2019,black_or_african_american_change_in_median_household_income_between_2000_and_2019,black_or_african_american_median_non-family_income_2019,black_or_african_american_change_in_median_non-family_income_between_2000_and_2019,black_or_african_american_median_per_capita_income_2019,black_or_african_american_change_in_median_per_capita_income_between_2000_and_2019,asian_median_household_income_2019,asian_change_in_median_household_income_between_2000_and_2019,asian_median_non-family_income_2019,asian_change_in_median_non-family_income_between_2000_and_2019,asian_median_per_capita_income_2019,asian_change_in_median_per_capita_income_between_2000_and_2019,hispanic_or_latino_median_household_income_2019,hispanic_or_latino_change_in_median_household_income_between_2000_and_2019,hispanic_or_latino_median_non-family_income_2019,hispanic_or_latino_change_in_median_non-family_income_between_2000_and_2019,hispanic_or_latino_median_per_capita_income_2019,hispanic_or_latino_change_in_median_per_capita_income_between_2000_and_2019,american_indian_and_alaska_native_median_household_income_2019,american_indian_and_alaska_native_change_in_median_household_income_between_2000_and_2019,american_indian_and_alaska_native_median_non-family_income_2019,american_indian_and_alaska_native_change_in_median_non-family_income_between_2000_and_2019,american_indian_and_alaska_native_median_per_capita_income_2019,american_indian_and_alaska_native_change_in_median_per_capita_income_between_2000_and_2019,multirace_median_household_income_2019,multirace_change_in_median_household_income_between_2000_and_2019,multirace_median_non-family_income_2019,multirace_change_in_median_non-family_income_between_2000_and_2019,multirace_median_per_capita_income_2019,multirace_change_in_median_per_capita_income_between_2000_and_2019,other_median_household_income_2019,other_change_in_median_household_income_between_2000_and_2019,other_median_non-family_income_2019,other_change_in_median_non-family_income_between_2000_and_2019,other_median_per_capita_income_2019,other_change_in_median_per_capita_income_between_2000_and_2019,revenue_imputed_2017,payroll_imputed_2017,employees_imputed_2017,government_finances_expenditure_per_resident_in_2018($),government_finances_revenue_per_resident_in_2018($),government_finances_debt_per_resident_in_2018($),government_finances_cash_and_securities_per_resident_in_2018($)
1840034016,New York,New York,NY,New York,36061,40.6943,-73.9249,18713220,10715,11229 11226 11225 11224 11222 11221 11220 11385 10169 10168 10167 10165 10162 10282 10280 10040 10044 11109 11104 11105 11379 11378 11377 11697 11694 11692 11693 11691 10271 10279 10278 10075 10302 10301 10452 11451 10475 10474 10471 10470 10473 10472 11228 11223 10103 11368 11369 11366 11367 11364 11365 11362 11363 11360 11361 10028 10029 10026 10027 10024 10025 10022 10023 10020 10021 11212 11213 11210 11211 11216 11217 11214 11215 11218 11219 10152 10153 10154 10307 10306 10305 11429 10310 10311 10312 10314 11432 11433 11430 11436 11434 11435 10453 10451 10457 10456 10455 10454 10459 10458 10128 10004 10005 10006 10007 10001 10002 10003 10009 11238 11239 11230 11231 11232 11233 11234 11235 11236 11237 11375 11374 11371 11370 11373 11372 10170 10171 10172 10173 10174 10177 11351 10039 10038 10035 10034 10037 10036 10031 10030 10033 10032 11201 11208 11203 11205 11204 11207 11206 11209 11411 11412 11413 11414 11415 11416 11417 11418 11419 11101 11102 11103 11106 11001 11005 11004 10065 10069 10199 10309 10308 10304 10303 11428 11421 11420 11423 11422 11425 11424 11427 11426 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469 10119 10115 10112 10110 10111 11359 11358 11357 11356 11355 11354 10019 10018 10013 10012 10011 10010 10017 10016 10014 10008 10041 10043 10055 10060 10080 10081 10087 10090 10101 10102 10104 10105 10106 10107 10108 10109 10113 10114 10116 10117 10118 10120 10121 10122 10123 10124 10125 10126 10129 10130 10131 10132 10133 10138 10150 10151 10155 10156 10157 10158 10159 10160 10163 10164 10166 10175 10176 10178 10179 10185 10203 10211 10212 10213 10242 10249 10256 10258 10259 10260 10261 10265 10268 10269 10270 10272 10273 10274 10275 10276 10277 10281 10285 10286 10313 11120 11202 11241 11242 11243 11245 11247 11249 11251 11252 11256 11352 11380 11381 11386 11405 11431 11437 11439 11499 11690 11695,41.30%,39.20%,3.80%,98.80%,88.30%,nan%,36.20%,416.695,91870655,37541300,12.1,71,98.5,21.1,88.3,16.00%,0.06858580652649410,9.10%,65.46,568,8.6,"$69,407.00",81.30%,"$51,293.00",69.80%,"$43,046.00",92.20%,"$90,664.00",94.80%,"$70,387.00",94.90%,"$61,105.00",91.00%,"$51,117.00",64.60%,"$32,023.00",50.70%,"$28,060.00",83.50%,"$75,219.00",82.90%,"$63,510.00",95.60%,"$41,116.00",119.40%,"$47,157.00",69.90%,"$28,149.00",70.70%,"$24,888.00",103.90%,"$41,804.00",44.20%,"$21,097.00",0.70%,"$25,359.00",119.90%,"$70,858.00",125.20%,"$54,598.00",141.60%,"$30,859.00",113.60%,"$44,467.00",N,"$24,747.00",59.30%,"$21,111.00",98.20%,20.56%,20.33%,23.33%,16064.040000000000,13612.870000000000,37441.2,5324.48
1840020491,Los Angeles,California,CA,Los Angeles,6037,34.1139,-118.4068,12750807,3276,90291 90293 90292 91316 91311 90037 90031 90008 90004 90005 90006 90007 90001 90002 90003 90710 90089 91344 91345 91340 91342 91343 90035 90034 90036 90033 90032 90039 90247 90248 91436 91371 91605 91604 91607 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 90019 90090 90095 90094 91042 91040 91411 91352 91356 90041 90042 90043 90044 90045 90046 90047 90048 90049 90018 91423 90210 91303 91304 91306 91307 90079 90071 90077 90059 91608 91606 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90028 90029 90272 90732 90731 90230 91406 91405 91403 91402 91401 91367 91364 90038 90057 90058 90744 90501 90502 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90074 90075 90076 90078 90080 90081 90082 90083 90084 90086 90087 90088 90093 90099 90134 90189 90213 90294 90295 90296 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91329 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91470 91482 91495 91496 91499 91603 91609 91610 91611 91612 91614 91615 91616 91617 91618,48.60%,35.90%,4.00%,60.70%,68.20%,32.20%,36.40%,453.118,110674673,82279482,13.3,70.8,57.4,29.8,68.2,16.70%,0.05759820054488850,8.60%,62.08,741.1,12.8,"$67,418.00",83.80%,"$50,644.00",74.60%,"$37,779.00",82.80%,"$78,501.00",75.10%,"$60,110.00",73.90%,"$46,771.00",61.10%,"$46,671.00",70.90%,"$31,911.00",59.70%,"$31,162.00",85.80%,"$79,959.00",115.00%,"$50,286.00",137.50%,"$42,889.00",119.30%,"$53,147.00",84.80%,"$35,869.00",82.30%,"$20,273.00",101.30%,"$60,388.00",87.70%,"$22,451.00",Â -8.7%,"$29,296.00",111.40%,"$69,312.00",119.20%,"$60,588.00",145.70%,"$32,023.00",113.20%,"$51,354.00",N,"$31,960.00",69.10%,"$18,289.00",101.30%,19.44%,19.67%,22.33%,3673.7500000000000,4063.3100000000000,16416.830000000000,1908.02
1840000494,Chicago,Illinois,IL,Cook,17031,41.8373,-87.6862,8604203,4574,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60827 60638 60639 60634 60636 60637 60630 60631 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60661 60660 60659 60652 60653 60651 60656 60657 60654 60655 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,27.30%,41.30%,3.20%,97.90%,77.40%,23.00%,20.30%,556.444,156507019,16830687,12,65.8,97.4,25.8,77.4,16.40%,0.09495157657300900,10.40%,69.49,942.3,10.8,"$61,811.00",60.00%,"$45,744.00",49.30%,"$40,277.00",99.60%,"$81,157.00",73.90%,"$64,916.00",74.00%,"$52,472.00",79.90%,"$34,980.00",20.30%,"$24,404.00",28.50%,"$24,892.00",80.40%,"$79,093.00",95.20%,"$57,729.00",87.40%,"$45,847.00",131.30%,"$52,122.00",42.60%,"$30,724.00",34.30%,"$22,504.00",90.70%,"$56,844.00",46.80%,"$41,267.00",46.30%,"$22,194.00",52.00%,"$82,283.00",136.70%,"$62,070.00",140.90%,"$32,177.00",122.10%,"$53,661.00",N,"$35,568.00",63.60%,"$21,196.00",92.20%,19.81%,19.33%,20.67%,3236.6100000000000,3352.9900000000000,21302.250000000000,3409.7500000000000
1840015149,Miami,Florida,FL,Miami-Dade,12086,25.7839,-80.2102,6445545,5019,33129 33125 33126 33127 33128 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33111 33151 33222 33231 33233 33238 33255 33299,70.80%,31.40%,1.80%,86.20%,77.60%,19.30%,58.40%,842.169,238451609,12328825,16.1,55.5,84.6,21.6,77.6,20.30%,0.11674507179018200,14.80%,56.72,627.4,23.2,"$42,966.00",83.00%,"$31,209.00",132.60%,"$30,934.00",104.50%,"$47,560.00",83.80%,"$35,114.00",137.00%,"$33,466.00",89.40%,"$29,642.00",71.50%,"$20,197.00",91.40%,"$19,323.00",102.10%,"$52,236.00",52.80%,"$52,325.00",103.30%,"$48,071.00",119.70%,"$40,925.00",84.30%,"$27,565.00",N,"$25,810.00",94.00%,"$35,103.00",83.40%,"$40,208.00",N,"$34,074.00",N,"$46,379.00",114.00%,"$107,680.00",N,"$35,081.00",N,"$49,372.00",N,"$32,939.00",N,"$20,041.00",120.60%,19.81%,20.33%,22.33%,1997.4600000000000,2039.3000000000000,3487.6200000000000,1500.9300000000000
1840019440,Dallas,Texas,TX,Dallas,48113,32.7936,-96.7662,5743938,1526,75287 75098 75233 75254 75251 75252 75253 75032 75238 75232 75230 75231 75236 75237 75234 75235 75088 75087 75243 75246 75244 75249 75248 75051 75166 75210 75211 75212 75214 75215 75216 75217 75218 75219 75390 75182 75229 75228 75220 75223 75225 75224 75227 75226 75241 75240 75247 75270 75043 75207 75206 75205 75204 75203 75202 75201 75209 75208 75019 75221 75222 75242 75250 75260 75262 75263 75264 75266 75267 75277 75283 75284 75285 75301 75303 75312 75313 75315 75320 75336 75339 75342 75354 75355 75356 75357 75358 75359 75360 75367 75370 75371 75372 75373 75374 75376 75378 75379 75380 75382 75389 75392 75393 75394 75395 75397 75398,23.70%,34.70%,2.30%,69.40%,46.00%,60.30%,25.30%,857.519,369966928,103399309,13.2,61.6,70.8,22.8,46,17.50%,0.08506555468949340,10.10%,57.66,884.1,26,"$55,332.00",47.10%,"$45,844.00",44.30%,"$36,288.00",63.60%,"$66,578.00",47.70%,"$53,908.00",47.50%,"$42,418.00",36.20%,"$40,618.00",48.40%,"$31,856.00",45.20%,"$25,822.00",85.30%,"$63,672.00",45.00%,"$52,420.00",58.10%,"$43,010.00",90.10%,"$47,579.00",50.70%,"$40,351.00",53.60%,"$18,155.00",78.50%,"$52,346.00",37.30%,"$29,457.00",Â -8.8%,"$29,041.00",60.10%,"$53,101.00",61.10%,"$49,696.00",77.40%,"$29,420.00",117.70%,"$45,968.00",N,"$34,216.00",33.20%,"$17,116.00",77.90%,22.41%,21.67%,23.00%,2647.8600000000000,2794.1700000000000,16665.090000000000,3104.12
1840000673,Philadelphia,Pennsylvania,PA,Philadelphia,42101,40.0077,-75.1339,5649300,4554,19154 19151 19150 19153 19152 19102 19103 19106 19107 19104 19109 19128 19129 19120 19121 19122 19123 19124 19125 19126 19127 19112 19111 19115 19114 19116 19119 19118 19148 19149 19146 19147 19144 19145 19142 19143 19140 19141 19139 19138 19137 19136 19135 19134 19133 19132 19131 19130 19019 19092 19093 19099 19101 19105 19108 19110 19155 19160 19161 19162 19170 19171 19172 19173 19175 19176 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255,19.10%,31.00%,3.30%,94.50%,78.80%,24.40%,14.00%,697.527,221360618,8774335,14.8,64.6,92.9,29.9,78.8,23.30%,0.09455460052807040,11.50%,72.44,NA,9.3,"$47,474.00",54.40%,"$35,626.00",75.30%,"$29,766.00",80.30%,"$67,519.00",84.90%,"$50,961.00",113.60%,"$43,066.00",102.30%,"$36,601.00",39.60%,"$25,818.00",58.50%,"$21,891.00",66.50%,"$49,278.00",77.30%,"$35,982.00",N,"$26,993.00",118.30%,"$32,425.00",56.20%,"$19,506.00",57.50%,"$16,171.00",80.30%,"$44,500.00",71.70%,"$26,272.00",35.60%,"$14,945.00",31.10%,"$46,962.00",77.70%,"$43,268.00",N,"$19,318.00",63.40%,"$25,708.00",N,"$15,324.00",26.90%,"$13,821.00",70.10%,18.70%,19.00%,21.33%,6403.670000000000,5301.330000000000,7397.24,1503.5400000000000
1840020925,Houston,Texas,TX,Harris,48201,29.7863,-95.3889,5464251,1399,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77489 77046 77045 77044 77040 77048 77201 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77091 77093 77099 77053 77346 77345 77546 77547 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77094 77096 77090 77098 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77043 77041 77336 77339 77338 77003 77002 77007 77006 77005 77004 77009 77008 77571 77450 77082 77089 77088 77083 77081 77080 77087 77086 77085 77084 77092 77042 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77202 77203 77204 77205 77206 77207 77208 77209 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,34.90%,34.00%,2.30%,57.60%,47.90%,59.00%,28.30%,857.519,369966928,103399309,13.3,63.2,59.5,21.8,47.9,19.70%,0.10189692394772600,11.20%,58.83,1093.2,25.4,"$52,450.00",43.20%,"$40,770.00",36.90%,"$33,377.00",66.00%,"$63,814.00",43.00%,"$50,039.00",42.80%,"$40,914.00",49.50%,"$36,725.00",33.20%,"$29,914.00",46.00%,"$21,993.00",59.70%,"$71,218.00",75.80%,"$55,901.00",99.60%,"$44,954.00",134.20%,"$45,326.00",52.90%,"$31,944.00",38.00%,"$19,029.00",78.80%,"$45,033.00",24.40%,"$31,973.00",39.90%,"$29,762.00",90.90%,"$55,611.00",81.60%,"$43,038.00",63.00%,"$33,744.00",141.80%,"$39,809.00",N,"$25,669.00",17.30%,"$16,496.00",69.10%,22.41%,21.67%,23.00%,2043.84,2345.4700000000000,14072.040000000000,2828.24
1840013660,Atlanta,Georgia,GA,Fulton,13121,33.7627,-84.4224,5449398,1441,30334 30331 30332 30309 30308 30305 30307 30303 30354 30327 30322 30326 30324 30319 30342 30306 30318 30316 30317 30314 30315 30312 30313 30310 30311 30363 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31139 31141 31193 31195 31196,8.30%,56.50%,2.10%,71.10%,47.80%,59.20%,8.40%,723.513,105671813,13921563,11.1,68.8,73.4,26.6,47.8,20.20%,0.11684640554512200,8.90%,79.09,NA,11.5,"$66,657.00",91.70%,"$53,912.00",75.00%,"$54,414.00",111.10%,"$112,690.00",84.90%,"$76,181.00",61.00%,"$90,005.00",78.20%,"$36,358.00",57.20%,"$32,214.00",94.50%,"$23,447.00",78.20%,"$105,802.00",N,"$74,971.00",101.70%,"$65,030.00",N,"$73,534.00",101.20%,"$51,839.00",69.10%,"$54,052.00",N,"$130,427.00",N,"$29,270.00",Â -1.3%,"$67,065.00",N,"$88,785.00",N,"$50,666.00",81.40%,"$39,965.00",118.20%,"$84,110.00",N,"$72,948.00",N,"$23,313.00",84.40%,22.41%,23.33%,22.67%,4435.630000000000,5373.050000000000,33559.560000000000,5630.34
1840006060,Washington,District of Columbia,DC,District of Columbia,11001,38.9047,-77.0163,5379184,4457,20010 20011 20012 20015 20228 20520 20307 20418 20319 20024 20510 20593 20020 20427 20540 20240 20245 20204 20202 20390 20006 20005 20004 20003 20002 20009 20008 20535 20317 20405 20057 20052 20053 20017 20018 20565 20566 20560 20260 20064 20551 20553 20019 20230 20373 20007 20032 20036 20037 20506 20001 20045 20016 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20055 20056 20058 20059 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20220 20221 20222 20223 20224 20226 20227 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20250 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20388 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20406 20407 20408 20410 20411 20412 20413 20414 20415 20416 20417 20419 20420 20421 20422 20423 20424 20425 20426 20428 20429 20431 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20507 20508 20509 20511 20515 20521 20522 20523 20524 20525 20526 20527 20528 20529 20530 20531 20533 20534 20536 20537 20538 20539 20541 20542 20543 20544 20546 20547 20548 20549 20552 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20591 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,11.00%,59.70%,3.30%,97.90%,75.90%,32.60%,12.10%,801.121,106974,67547,9.1,73.4,98.4,35.1,75.9,13.50%,0.1082188809352560,5.40%,76.06,995.5,4.1,"$92,266.00",129.90%,"$76,529.00",124.20%,"$59,808.00",108.70%,"$149,734.00",128.80%,"$108,558.00",110.80%,"$91,700.00",74.50%,"$48,652.00",59.60%,"$37,110.00",56.40%,"$32,598.00",83.80%,"$103,171.00",N,"$80,885.00",N,"$71,640.00",N,"$99,799.00",N,"$79,090.00",N,"$42,994.00",147.40%,"$59,436.00",63.50%,"$26,659.00",Â -16.2%,"$29,293.00",20.80%,"$101,321.00",N,"$75,955.00",N,"$52,003.00",126.90%,"$68,297.00",N,"$53,786.00",100.90%,"$29,126.00",107.50%,22.69%,21.55%,27.76%,23697.37000000000,19825.43000000000,51278.48,7970.040000000000
1840000455,Boston,Massachusetts,MA,Suffolk,25025,42.3188,-71.0846,4688346,5532,02120 02121 02122 02124 02125 02126 02127 02128 02129 02467 02210 02215 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02132 02131 02130 02203 02163 02152 02108 02109 02112 02117 02123 02133 02137 02196 02201 02205 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298,27.00%,51.70%,6.30%,99.50%,82.00%,nan%,27.20%,879.901,14202265,3992900,11.1,75.6,99.4,29.7,82,17.10%,0.07360574341568830,8.10%,71.47,620.1,3.9,"$79,018.00",99.40%,"$62,028.00",89.30%,"$48,978.00",109.70%,"$108,720.00",134.90%,"$85,964.00",121.90%,"$67,092.00",116.50%,"$49,486.00",62.50%,"$29,931.00",49.10%,"$25,453.00",70.50%,"$52,677.00",88.40%,"$40,131.00",132.00%,"$38,787.00",N,"$43,090.00",58.80%,"$23,661.00",25.60%,"$25,307.00",112.10%,"$21,356.00",Â -23.5%,"$7,944.00",Â -36.1%,"$22,652.00",75.80%,"$61,567.00",80.30%,"$50,133.00",112.70%,"$27,081.00",91.60%,"$31,893.00",N,"$19,604.00",1.60%,"$24,079.00",119.80%,20.19%,23.67%,26.33%,6900.570000000000,5974.6,5987.320000000000,3513.16
